GEOID,state,city,num_holc_areas,total_overlap,weighted_grade_score,dominant_grade,depression_prev,diabetes_prev,obesity_prev,access2_prev
01073010801,AL,Birmingham,7,0.7172499999999999,2.094834437086093,C,23.3,7.3,25.1,3.8
01073010802,AL,Birmingham,8,0.6957,1.3411384217335058,A,22.6,9.2,27.4,3.3
01073010803,AL,Birmingham,4,0.0189,3.5666666666666664,D,21.9,10.3,30.4,5.0
01073010804,AL,Birmingham,1,0.19737,1.0,A,21.0,8.6,25.3,3.0
01073010806,AL,Birmingham,2,0.07473,1.3364110798875954,A,22.1,9.9,27.7,4.1
01073010900,AL,Birmingham,3,0.60734,3.723120492640037,D,23.5,19.8,45.5,17.0
01073011901,AL,Birmingham,1,0.03746,4.0,D,23.9,20.5,40.8,18.8
01073011904,AL,Birmingham,5,0.46907,3.9972072398575906,D,18.6,23.9,44.2,11.0
01073012004,AL,Birmingham,1,0.11304,4.0,D,22.7,14.3,37.7,9.1
01073012401,AL,Birmingham,1,0.0462,4.0,D,18.4,19.7,42.4,8.1
01073012402,AL,Birmingham,1,0.11124,4.0,D,23.0,21.2,46.6,11.7
01073012500,AL,Birmingham,1,0.15059,4.0,D,23.6,19.0,41.5,11.9
01073012602,AL,Birmingham,1,0.07588,4.0,D,25.2,16.1,40.5,12.7
01073012701,AL,Birmingham,2,0.02227,4.0,D,21.8,13.6,33.5,11.1
01073012905,AL,Birmingham,1,0.00092,2.0,B,25.6,16.0,35.2,9.3
01073012914,AL,Birmingham,2,0.0017599999999999998,2.0,B,21.9,12.7,27.0,6.3
01073013002,AL,Birmingham,2,0.22856,4.0,D,20.8,27.1,49.5,13.0
01073013100,AL,Birmingham,1,0.5398,4.0,D,21.0,28.1,49.5,13.6
01073013200,AL,Birmingham,2,0.10346000000000001,3.029963270829306,C,20.8,19.4,45.3,11.0
01073013400,AL,Birmingham,1,0.00342,3.0,C,19.4,21.1,44.8,10.1
01073014304,AL,Birmingham,2,0.00124,4.0,D,24.9,11.9,36.1,8.4
01073014404,AL,Birmingham,1,0.0035,2.0,B,24.1,9.9,30.8,7.5
01097000200,AL,Mobile,3,0.54952,3.9954141796476925,D,20.5,22.3,40.7,9.9
01097000401,AL,Mobile,1,0.81889,4.0,D,20.7,30.9,56.4,17.3
01097000402,AL,Mobile,1,0.70606,4.0,D,28.9,25.2,58.0,23.6
01097000500,AL,Mobile,2,0.41653999999999997,3.8442646564555627,D,18.3,27.9,51.7,13.4
01097000600,AL,Mobile,1,0.00023,4.0,D,17.5,27.2,48.0,11.4
01097000801,AL,Mobile,3,0.01094,3.125228519195612,C,17.1,21.0,43.1,9.7
01097000901,AL,Mobile,6,0.8341400000000001,2.9741290430862923,C,23.5,12.9,37.1,8.5
01097000902,AL,Mobile,5,0.83652,2.81548558313011,C,22.8,12.3,33.8,6.7
01097000903,AL,Mobile,5,0.7953800000000001,2.862543689808645,C,20.5,17.2,40.2,9.7
01097001001,AL,Mobile,2,0.91406,3.126687525982977,C,21.7,13.5,37.1,7.8
01097001002,AL,Mobile,4,0.70769,3.316339075018723,C,20.4,14.5,37.0,6.4
01097001100,AL,Mobile,3,0.99999,3.9579495794957946,D,18.3,29.6,49.3,14.0
01097001200,AL,Mobile,4,0.03794,3.791776489193463,D,19.9,18.5,47.3,18.1
01097001302,AL,Mobile,4,0.56589,3.7324921804591,D,20.7,30.9,53.7,19.0
01097001400,AL,Mobile,4,0.53329,3.777888203416527,D,18.9,25.6,50.2,12.8
01097001501,AL,Mobile,1,0.28036,4.0,D,21.7,35.3,57.8,19.1
01097001502,AL,Mobile,3,0.19670999999999997,3.9239997966549747,D,22.7,27.0,55.0,18.2
01097002301,AL,Mobile,2,0.009940000000000001,3.8893360160965793,D,19.6,19.9,46.4,12.3
01097002302,AL,Mobile,1,0.00336,3.0,C,18.6,26.9,49.7,13.6
01097002400,AL,Mobile,4,0.49507999999999996,3.5272885190272283,D,20.0,22.6,47.4,12.8
01097002501,AL,Mobile,8,0.39375,2.845815873015873,C,21.8,8.1,29.5,4.8
01097002502,AL,Mobile,8,0.62655,2.733397175005985,C,20.6,12.6,31.4,6.4
01097002600,AL,Mobile,1,0.00755,3.0,C,17.8,26.8,46.8,13.9
01097007400,AL,Mobile,2,0.00802,3.997506234413965,D,21.6,21.1,44.5,11.7
01101000100,AL,Montgomery,5,0.48208999999999996,3.980667510215935,D,22.2,10.5,42.4,8.6
01101000200,AL,Montgomery,4,0.92804,4.0,D,19.5,22.1,52.1,19.0
01101000300,AL,Montgomery,2,0.14567,4.0,D,23.3,24.6,56.9,20.3
01101000400,AL,Montgomery,3,0.94475,3.9884943106641972,D,24.3,22.7,54.5,18.8
01101000500,AL,Montgomery,2,1.0,3.0,C,24.8,17.3,49.7,17.3
01101000600,AL,Montgomery,5,0.80413,3.704164749480805,D,21.3,28.5,56.8,14.3
01101000700,AL,Montgomery,6,0.99858,3.3767750205291516,D,23.6,28.2,57.7,16.4
01101000900,AL,Montgomery,1,0.02314,4.0,D,20.8,8.7,41.1,11.5
01101001000,AL,Montgomery,2,0.33557,4.0,D,24.4,25.3,58.6,21.1
01101001100,AL,Montgomery,1,0.73792,4.0,D,20.2,27.6,56.1,15.9
01101001200,AL,Montgomery,3,0.9866,3.9224102979931077,D,23.5,28.0,60.5,20.6
01101001300,AL,Montgomery,6,0.80257,1.816414767559216,B,21.3,17.7,47.2,10.0
01101001400,AL,Montgomery,9,0.91215,1.380814559008935,A,23.4,9.1,35.2,5.5
01101001500,AL,Montgomery,4,0.94776,3.3440216932556766,C,28.8,9.9,42.5,11.9
01101001600,AL,Montgomery,4,0.88774,3.000011264559443,C,25.1,21.5,55.0,17.8
01101001700,AL,Montgomery,1,0.11357,3.0,C,24.2,13.5,44.3,10.2
01101001800,AL,Montgomery,2,0.09728,3.001027960526316,C,25.0,17.9,48.0,12.8
01101002000,AL,Montgomery,6,0.41787,2.159595089381865,B,21.6,13.4,40.5,6.9
01101002100,AL,Montgomery,4,0.14384000000000002,1.5157814238042266,B,20.3,17.6,48.9,10.4
01101002201,AL,Montgomery,2,0.037239999999999995,2.1962943071965633,B,19.8,26.3,55.1,16.0
01101002300,AL,Montgomery,3,0.22846,2.921517990020135,C,19.2,27.2,54.9,14.2
01101002400,AL,Montgomery,2,0.01073,3.748369058713887,D,21.4,31.5,59.6,18.1
01101002500,AL,Montgomery,1,0.20119,4.0,D,23.2,22.5,53.5,18.4
01101002800,AL,Montgomery,1,0.00615,3.0,C,21.3,17.4,50.0,12.5
01101003301,AL,Montgomery,2,0.42996999999999996,3.0,C,20.8,13.5,40.5,6.6
06001400100,CA,Oakland,4,0.45227000000000006,1.3725429500077388,A,18.9,9.8,20.5,2.6
06001400200,CA,Oakland,6,0.86138,2.2197520258190346,B,21.3,7.9,21.7,3.6
06001400300,CA,Oakland,4,0.83394,2.982348850037173,C,21.7,7.8,22.8,3.8
06001400400,CA,Oakland,6,0.94336,2.715230664857531,C,23.3,6.9,23.0,3.8
06001400500,CA,Oakland,3,0.71313,3.2748306760338224,C,23.4,7.8,25.5,4.8
06001400600,CA,Oakland,2,0.86103,2.659105954496359,C,23.8,7.8,26.3,5.0
06001400700,CA,Oakland,5,0.7527,3.7121163810282978,D,22.9,8.7,27.0,5.0
06001400800,CA,Oakland,4,0.85725,4.0,D,21.9,8.9,26.0,5.5
06001400900,CA,Oakland,3,0.8355199999999999,3.9531908272692453,D,24.4,8.5,28.0,6.3
06001401000,CA,Oakland,4,0.8428800000000001,3.855388667425968,D,23.0,8.3,27.6,6.4
06001401100,CA,Oakland,3,0.74547,3.0,C,23.6,6.4,24.7,5.7
06001401200,CA,Oakland,2,0.7272,2.9999999999999996,C,23.2,6.6,23.8,4.3
06001401300,CA,Oakland,2,0.67397,3.0000000000000004,C,20.7,8.9,25.9,6.4
06001401400,CA,Oakland,3,0.61856,3.822798111743404,D,23.9,12.3,33.2,11.4
06001401500,CA,Oakland,1,0.85251,4.0,D,23.5,10.9,31.7,9.1
06001401600,CA,Oakland,1,0.94019,4.0,D,22.6,8.9,28.9,8.5
06001401700,CA,Oakland,2,0.24979,4.0,D,20.9,9.6,28.7,7.2
06001401800,CA,Oakland,1,1.0,4.0,D,23.3,8.8,30.2,7.2
06001402200,CA,Oakland,1,0.89474,4.0,D,21.2,9.9,28.2,8.6
06001402400,CA,Oakland,2,0.9995700000000001,4.0,D,22.8,14.6,31.5,10.7
06001402500,CA,Oakland,2,0.88271,4.0,D,23.9,13.4,34.6,9.8
06001402600,CA,Oakland,2,0.70465,4.0,D,18.3,18.3,25.6,8.1
06001402700,CA,Oakland,2,0.88771,4.0,D,22.8,9.8,29.7,8.3
06001403000,CA,Oakland,1,0.11963,4.0,D,14.0,23.4,18.4,9.1
06001403301,CA,Oakland,1,0.67288,4.0,D,16.0,19.7,21.3,10.2
06001403302,CA,Oakland,1,0.63002,4.0,D,20.6,6.1,21.8,4.3
06001403401,CA,Oakland,1,0.03295,3.0,C,20.3,11.8,23.9,6.7
06001403501,CA,Oakland,5,0.63707,2.74908565777701,C,21.5,8.8,24.5,5.5
06001403502,CA,Oakland,3,0.99902,2.862965706392264,C,23.6,7.0,25.0,5.5
06001403600,CA,Oakland,3,0.95799,2.158801240096452,B,21.7,7.6,25.2,4.9
06001403701,CA,Oakland,2,0.86711,3.0000000000000004,C,22.5,8.2,24.3,5.4
06001403702,CA,Oakland,2,0.83985,2.994499017681729,C,22.1,7.7,23.7,4.1
06001403800,CA,Oakland,5,0.8376899999999999,2.003008272750063,B,22.4,7.8,23.7,3.8
06001403900,CA,Oakland,5,0.91177,2.0615396426730426,B,22.2,7.4,23.0,4.6
06001404000,CA,Oakland,5,0.83659,2.5304509975017635,C,22.9,7.1,23.8,4.1
06001404101,CA,Oakland,2,0.79209,2.989748639674784,C,21.9,7.4,22.0,3.7
06001404102,CA,Oakland,3,0.85762,2.832979641332991,C,20.7,8.8,21.1,4.2
06001404200,CA,Oakland,7,0.50766,2.040657132726628,B,20.4,8.3,21.4,2.9
06001404300,CA,Oakland,6,0.9328,1.9433211835334474,B,19.9,8.2,20.5,2.6
06001404400,CA,Oakland,5,0.60283,2.470248660484714,C,19.9,8.5,21.1,2.9
06001404501,CA,Oakland,4,0.9813,1.0000305716906144,A,20.0,9.3,21.1,3.3
06001404502,CA,Oakland,3,0.37761,1.9758480972431878,B,20.2,8.3,21.6,3.0
06001404600,CA,Oakland,1,0.00026,1.0,A,20.1,9.4,21.8,3.2
06001404700,CA,Oakland,4,0.41958,1.3940368940368941,A,20.2,8.9,22.5,2.6
06001404800,CA,Oakland,5,0.77709,2.3601770708669525,B,21.4,10.4,25.2,5.3
06001404900,CA,Oakland,4,0.99065,2.011891182556907,B,20.7,9.9,23.5,4.0
06001405000,CA,Oakland,5,0.96553,2.054332853458722,B,21.9,8.8,22.9,3.8
06001405100,CA,Oakland,3,0.99993,1.5634994449611475,A,20.2,9.5,22.7,3.1
06001405200,CA,Oakland,5,0.91183,2.136231534386892,B,21.4,8.9,23.2,5.4
06001405301,CA,Oakland,2,0.99825,3.0,C,22.6,7.5,24.8,5.3
06001405302,CA,Oakland,4,0.6127300000000001,3.000718097693927,C,19.5,13.1,24.2,6.8
06001405401,CA,Oakland,2,0.8478600000000001,3.0000000000000004,C,19.5,11.2,23.9,8.5
06001405402,CA,Oakland,3,0.80306,3.0020919981072405,C,20.4,13.7,27.1,11.5
06001405500,CA,Oakland,4,0.9999899999999999,2.9983999839998403,C,20.9,11.7,25.3,8.4
06001405600,CA,Oakland,4,0.97603,2.7905084884685927,C,20.8,10.6,24.7,7.0
06001405700,CA,Oakland,4,0.88059,2.869167262857856,C,21.0,14.1,28.5,9.9
06001405800,CA,Oakland,2,0.99996,3.301952078083123,C,19.3,14.7,25.5,11.6
06001405901,CA,Oakland,1,0.93096,4.0,D,19.3,14.1,27.0,14.4
06001405902,CA,Oakland,4,0.81028,3.5237448783136696,D,18.8,14.9,25.0,12.7
06001406000,CA,Oakland,2,0.6460300000000001,4.0,D,20.6,13.7,26.9,11.8
06001406100,CA,Oakland,2,0.75848,4.0,D,22.1,14.0,32.3,15.5
06001406201,CA,Oakland,3,0.8255699999999999,3.31637535278656,C,20.3,13.6,29.0,18.1
06001406202,CA,Oakland,2,0.75165,3.0,C,21.0,13.8,30.9,22.3
06001406300,CA,Oakland,3,0.9304,2.9878761822871884,C,19.9,15.0,28.3,15.1
06001406400,CA,Oakland,6,0.93538,2.5142829652119993,B,20.1,17.9,28.8,11.3
06001406500,CA,Oakland,4,0.91954,3.0,C,19.9,12.9,28.3,13.9
06001406601,CA,Oakland,3,0.93724,2.775265673680167,C,20.1,12.7,27.3,10.0
06001406602,CA,Oakland,2,0.92651,2.8184261367929113,C,20.1,12.2,27.9,10.5
06001406700,CA,Oakland,9,0.85661,2.5022472303615415,C,20.6,9.9,23.4,5.2
06001406800,CA,Oakland,5,0.9338,2.645534375669308,C,20.0,10.4,23.4,5.5
06001406900,CA,Oakland,3,0.94628,2.8313606966225637,C,20.6,10.8,25.5,5.3
06001407000,CA,Oakland,2,0.86389,2.9999999999999996,C,20.2,12.8,27.4,11.7
06001407101,CA,Oakland,3,0.94286,3.225049318032369,C,20.4,14.3,30.2,17.9
06001407102,CA,Oakland,1,0.94721,3.0,C,20.3,13.5,28.7,14.4
06001407200,CA,Oakland,4,0.75925,3.5768850839644384,D,20.7,13.1,30.5,21.2
06001407300,CA,Oakland,2,0.37287,4.0,D,23.0,13.0,33.6,19.2
06001407400,CA,Oakland,2,0.76231,3.001338038330863,C,21.4,14.1,33.9,19.5
06001407500,CA,Oakland,2,0.7756000000000001,3.372150593089221,C,21.7,14.0,34.1,19.3
06001407600,CA,Oakland,2,0.8860300000000001,2.728564495558841,C,21.0,11.7,29.5,11.4
06001407700,CA,Oakland,2,0.93616,2.0,B,19.8,10.8,26.9,5.6
06001407800,CA,Oakland,5,0.5248,2.4920731707317074,B,22.9,9.4,26.5,6.8
06001407900,CA,Oakland,3,0.9738399999999999,3.0000000000000004,C,20.4,10.1,24.8,5.2
06001408000,CA,Oakland,2,0.09852999999999999,2.6835481579214453,C,18.9,9.9,20.9,3.3
06001408100,CA,Oakland,2,0.15527,3.1358279126682556,C,18.1,10.5,22.8,3.6
06001408200,CA,Oakland,7,0.99054,2.8826397722454415,C,21.1,11.2,30.0,7.7
06001408300,CA,Oakland,5,0.9241599999999999,3.478163954293629,D,21.5,12.2,30.4,8.2
06001408400,CA,Oakland,4,0.9484,2.6224377899620412,C,21.2,12.9,33.4,15.8
06001408500,CA,Oakland,5,0.92777,3.005550944738459,C,20.5,12.7,33.0,15.7
06001408600,CA,Oakland,5,0.67789,2.882989865612415,B,21.1,13.8,33.6,16.2
06001408700,CA,Oakland,6,0.83364,2.74305455592342,C,21.7,14.6,35.4,16.0
06001408800,CA,Oakland,1,0.94448,4.0,D,22.4,15.5,35.0,19.6
06001408900,CA,Oakland,1,0.9455,4.0,D,22.1,15.3,35.6,23.2
06001409000,CA,Oakland,1,0.01913,4.0,D,20.5,15.4,33.9,16.6
06001409100,CA,Oakland,1,0.02419,4.0,D,20.5,12.8,32.5,17.9
06001409200,CA,Oakland,1,0.01903,4.0,D,20.9,13.1,32.6,18.9
06001409300,CA,Oakland,1,0.97289,4.0,D,21.1,14.8,34.4,20.3
06001409400,CA,Oakland,1,0.97473,4.0,D,20.8,12.2,31.9,20.7
06001409500,CA,Oakland,1,0.96028,4.0,D,22.6,15.4,36.7,23.8
06001409600,CA,Oakland,2,0.9007400000000001,3.520605280103026,D,21.4,13.3,33.9,21.2
06001409700,CA,Oakland,5,0.79669,2.9530934240419735,C,23.3,17.5,39.6,20.5
06001409800,CA,Oakland,5,0.48524999999999996,2.3484389489953634,B,19.7,12.8,30.3,6.9
06001409900,CA,Oakland,3,0.49729,2.2995636349011646,B,18.0,12.2,26.2,4.1
06001410000,CA,Oakland,4,0.30948000000000003,2.8452888716556806,C,18.8,11.6,26.3,4.7
06001410100,CA,Oakland,2,0.8286500000000001,2.978965787727026,C,20.6,14.0,33.2,9.8
06001410200,CA,Oakland,2,0.99855,3.0000000000000004,C,20.8,13.3,32.3,14.6
06001410300,CA,Oakland,3,0.9253,3.168885766778342,C,22.4,14.4,36.0,24.3
06001410400,CA,Oakland,4,0.7704099999999999,2.881958956919043,C,20.0,13.5,31.6,14.4
06001410500,CA,Oakland,2,0.8962399999999999,4.0,D,23.3,14.0,34.8,8.9
06001420100,CA,Oakland,2,0.888,2.0,B,19.3,9.6,20.7,3.6
06001420200,CA,Oakland,2,0.8762500000000001,2.777175463623395,C,18.8,9.0,20.1,4.2
06001420301,CA,Oakland,2,0.49648000000000003,3.0,C,16.4,9.0,17.4,3.4
06001420302,CA,Oakland,2,0.40996,3.0000000000000004,C,19.3,7.9,20.3,3.9
06001420401,CA,Oakland,2,0.01837,3.2885138813282526,C,24.3,5.9,20.7,8.2
06001420402,CA,Oakland,3,0.006229999999999999,3.3932584269662924,C,23.8,3.0,19.8,6.3
06001420500,CA,Oakland,3,0.89009,2.8535429001561643,C,20.2,8.8,21.2,3.9
06001420600,CA,Oakland,4,0.96037,2.048356362651895,B,19.9,8.6,20.5,2.9
06001421100,CA,Oakland,1,0.80288,1.0,A,18.7,9.4,19.7,2.3
06001421200,CA,Oakland,5,0.98249,1.060794511903429,A,19.1,8.9,19.5,2.3
06001421300,CA,Oakland,4,0.9413,1.700478062254329,B,19.9,9.5,20.9,2.9
06001421400,CA,Oakland,3,0.9999899999999999,1.9309093090930909,B,20.6,9.5,21.7,3.1
06001421500,CA,Oakland,4,0.7726999999999999,1.5344376860359779,A,20.4,9.6,21.2,3.1
06001421600,CA,Oakland,4,0.98372,1.5178709388850486,A,20.1,9.4,21.0,2.9
06001421700,CA,Oakland,4,0.81909,2.428878389432175,B,21.6,7.6,20.8,3.9
06001421800,CA,Oakland,2,0.98522,2.352570999370699,B,20.8,8.3,20.8,2.9
06001421900,CA,Oakland,6,0.91944,2.7570586443922385,C,20.4,8.8,22.0,3.2
06001422000,CA,Oakland,1,0.56305,4.0,D,21.4,7.7,24.8,4.9
06001422100,CA,Oakland,1,0.85159,4.0,D,20.9,8.4,23.5,5.8
06001422200,CA,Oakland,3,0.88943,3.3408137796116613,C,21.8,7.9,22.2,4.3
06001422300,CA,Oakland,3,0.91284,3.6904495859077167,D,21.4,7.7,21.1,4.2
06001422400,CA,Oakland,3,0.6108,2.8923051735428946,C,19.9,4.6,16.4,3.6
06001422500,CA,Oakland,2,0.99949,2.9012396322124285,C,25.4,4.9,20.0,7.0
06001422700,CA,Oakland,2,0.9754799999999999,2.4520646245950712,B,30.0,4.2,21.8,8.9
06001422800,CA,Oakland,3,0.7305,3.034031485284052,C,26.7,3.5,20.7,11.5
06001422901,CA,Oakland,1,0.19615,4.0,D,23.4,7.2,21.2,7.6
06001422902,CA,Oakland,1,0.00249,4.0,D,22.7,7.5,23.5,6.5
06001423000,CA,Oakland,1,0.92766,4.0,D,21.9,7.9,22.2,4.4
06001423100,CA,Oakland,1,0.89811,4.0,D,22.4,11.6,26.9,6.7
06001423200,CA,Oakland,1,0.92045,4.0,D,22.4,10.4,27.7,8.4
06001423300,CA,Oakland,2,0.85983,4.0,D,22.5,11.1,28.1,5.9
06001423400,CA,Oakland,3,0.98361,3.9637152936631392,D,22.4,8.6,25.2,5.3
06001423500,CA,Oakland,2,0.71148,3.186878057007927,C,21.5,8.3,22.6,4.5
06001423601,CA,Oakland,3,0.90018,2.636006132106912,C,23.6,7.4,22.2,4.2
06001423602,CA,Oakland,4,0.90302,2.618812429403557,C,25.8,6.5,21.7,7.5
06001423700,CA,Oakland,3,0.83012,2.0955404037970418,B,24.8,6.6,19.8,5.2
06001423800,CA,Oakland,3,0.9902700000000001,1.4362951518272793,A,20.5,8.9,20.8,3.0
06001423901,CA,Oakland,3,0.80362,3.0461536547124264,C,23.4,7.8,24.3,5.5
06001423902,CA,Oakland,4,0.8696900000000001,2.4051788568340444,B,23.7,8.1,23.1,4.2
06001424001,CA,Oakland,2,0.86475,3.997085862966175,D,23.2,8.1,26.1,6.5
06001424002,CA,Oakland,1,0.96836,4.0,D,22.1,9.3,26.6,6.6
06001425102,CA,Oakland,2,0.18947999999999998,4.0,D,19.1,5.2,18.5,4.0
06001425103,CA,Oakland,3,1.0,4.0,D,20.9,6.3,22.3,4.2
06001425104,CA,Oakland,4,0.74981,3.734612768568037,D,20.4,7.8,23.6,4.8
06001426100,CA,Oakland,10,0.9974500000000001,1.143646298060053,A,18.7,8.7,19.2,2.3
06001426200,CA,Oakland,7,0.9716600000000001,1.854002428833131,B,19.9,8.9,20.4,2.9
06001427100,CA,Oakland,5,0.98224,2.8969803713959927,C,20.1,9.4,21.5,4.1
06001427200,CA,Oakland,2,0.5897100000000001,3.7964253616184225,D,20.3,10.5,22.7,6.0
06001427300,CA,Oakland,3,0.39142999999999994,3.7930409013105795,D,18.8,10.9,21.6,4.7
06001427600,CA,Oakland,1,0.53276,3.0,C,19.8,9.8,22.3,7.0
06001427700,CA,Oakland,3,0.5599999999999999,3.0000000000000004,C,20.8,9.4,22.9,4.6
06001427800,CA,Oakland,5,0.95606,2.8506892872832252,C,21.0,9.3,22.3,4.8
06001427900,CA,Oakland,3,1.0,2.9414100000000003,C,21.3,10.0,23.6,5.2
06001428000,CA,Oakland,2,0.8660100000000001,3.0,C,20.0,9.1,22.2,5.1
06001428100,CA,Oakland,5,0.74015,2.8317232993312165,C,20.6,9.2,22.3,4.4
