GEOID,state,city,num_holc_areas,total_overlap,race_exposure,class_exposure,occupation_exposure,environment_exposure,depression_prev,diabetes_prev,obesity_prev,access2_prev
01073005104,AL,Birmingham,1,0.04016,1.0,1.0,5.0,4.0,22.0,12.3,39.4,10.3
01073005200,AL,Birmingham,4,0.48055,0.8394964103631256,0.8395172198522527,4.521069607741129,3.5159296639267503,19.6,26.8,48.0,13.2
01073005302,AL,Birmingham,2,0.33554,0.4304106812898611,0.7847946593550694,2.8608213625797223,2.0,20.1,13.7,35.2,6.4
01073005500,AL,Birmingham,3,0.49441999999999997,0.20229764168116177,0.1776424901905263,0.8338457182152826,0.6808583795153917,22.9,23.1,48.0,14.4
01073005600,AL,Birmingham,3,0.3365,0.0,0.0,2.5766419019316493,0.6218722139673105,24.0,10.3,29.3,7.6
01073005701,AL,Birmingham,2,0.63681,1.0,1.0,4.995603084122424,4.004396915877577,19.0,21.1,43.8,10.8
01073005702,AL,Birmingham,2,0.70927,0.8186727198387074,0.8186727198387074,4.456018159516122,3.4560181595161223,18.3,24.3,45.3,11.2
01073005800,AL,Birmingham,5,0.00843,1.4685646500593121,0.9750889679715302,4.166073546856465,0.1553973902728351,23.4,14.5,39.8,11.5
01073005905,AL,Birmingham,1,0.16518,0.0,0.0,0.0,0.0,22.7,21.0,46.8,15.1
01073005909,AL,Birmingham,1,0.12016,0.0,0.0,0.0,0.0,20.4,19.3,44.7,10.2
01073005910,AL,Birmingham,1,0.03157,0.0,0.0,0.0,0.0,19.6,19.6,44.0,9.4
01073010603,AL,Birmingham,2,0.35223,0.5463191664537376,0.0,0.5463191664537376,1.5463191664537375,18.8,23.5,45.8,9.8
01073010604,AL,Birmingham,5,0.66511,0.9941814136007578,0.734480010825277,2.4660732811113952,4.303288177895387,21.1,22.9,47.2,11.9
01073010605,AL,Birmingham,4,0.5679099999999999,1.4114560405698087,0.5455089714919619,2.9139300241235406,4.116109946998645,21.6,19.4,47.3,11.7
01073010701,AL,Birmingham,1,0.50304,0.0,2.0,2.0,0.0,24.3,8.0,31.9,7.3
01073010702,AL,Birmingham,5,0.94557,0.2715399177215859,0.9687807354294236,3.378671066129425,1.0234884778493396,24.0,8.9,30.0,5.7
01073010703,AL,Birmingham,3,0.84242,0.007739607321763491,1.9261413546686927,2.1069181643360797,0.06998884167042568,23.4,8.0,27.1,3.8
01073010704,AL,Birmingham,3,0.49861,0.0,1.1873006959346983,2.812699304065301,1.8121176871703333,26.0,5.8,29.6,7.3
01073010705,AL,Birmingham,3,0.7192000000000001,0.0,1.5307007786429365,2.4692992213570633,1.4048109010011123,23.7,6.3,26.5,4.0
01073010801,AL,Birmingham,7,0.7172499999999999,0.030101080515859188,0.49010805158591847,3.264273265946323,1.681951899616591,23.3,7.3,25.1,3.8
01073010802,AL,Birmingham,8,0.6957,0.0,1.7590053183843612,3.2038522351588328,1.984993531694696,22.6,9.2,27.4,3.3
01073010803,AL,Birmingham,4,0.0189,0.0,0.28888888888888886,0.4566137566137565,0.28888888888888886,21.9,10.3,30.4,5.0
01073010804,AL,Birmingham,1,0.19737,0.0,2.0,2.9999999999999996,2.0,21.0,8.6,25.3,3.0
01073010806,AL,Birmingham,2,0.07473,0.0,1.7757259467416031,2.6635889201124043,1.7757259467416031,22.1,9.9,27.7,4.1
01073010900,AL,Birmingham,3,0.60734,1.2768795073599633,0.5537590147199263,4.1220568380149505,4.8451773306549875,23.5,19.8,45.5,17.0
01073011901,AL,Birmingham,1,0.03746,0.0,0.0,0.0,0.0,23.9,20.5,40.8,18.8
01073011904,AL,Birmingham,5,0.46907,0.4664975376809432,0.005585520284818897,0.013622700236638455,0.8746029377278445,18.6,23.9,44.2,11.0
01073012004,AL,Birmingham,1,0.11304,0.0,0.0,0.0,0.0,22.7,14.3,37.7,9.1
01073012401,AL,Birmingham,1,0.0462,0.0,0.0,0.0,1.0,18.4,19.7,42.4,8.1
01073012402,AL,Birmingham,1,0.11124,0.0,0.0,0.0,1.0,23.0,21.2,46.6,11.7
01073012500,AL,Birmingham,1,0.15059,1.0,0.0,0.0,1.0,23.6,19.0,41.5,11.9
01073012602,AL,Birmingham,1,0.07588,0.0,0.0,2.0,0.0,25.2,16.1,40.5,12.7
01073012701,AL,Birmingham,2,0.02227,0.0,0.0,0.015267175572519083,0.0,21.8,13.6,33.5,11.1
01073012905,AL,Birmingham,1,0.00092,0.0,2.0,2.0,0.0,25.6,16.0,35.2,9.3
01073012914,AL,Birmingham,2,0.0017599999999999998,0.0,1.215909090909091,2.784090909090909,0.7840909090909092,21.9,12.7,27.0,6.3
01073013002,AL,Birmingham,2,0.22856,0.01715085754287714,0.01715085754287714,0.08575428771438572,0.06860343017150856,20.8,27.1,49.5,13.0
01073013100,AL,Birmingham,1,0.5398,1.0,1.0,5.0,4.0,21.0,28.1,49.5,13.6
01073013200,AL,Birmingham,2,0.10346000000000001,0.02996327082930601,0.02996327082930601,0.14981635414653005,1.089889812487918,20.8,19.4,45.3,11.0
01073013400,AL,Birmingham,1,0.00342,1.0,0.0,1.0,2.0,19.4,21.1,44.8,10.1
01073014304,AL,Birmingham,2,0.00124,0.8951612903225807,0.8951612903225807,4.475806451612903,3.580645161290323,24.9,11.9,36.1,8.4
01073014404,AL,Birmingham,1,0.0035,0.0,1.0,3.0,1.0,24.1,9.9,30.8,7.5
01097000200,AL,Mobile,3,0.54952,1.97528752365701,0.3385136118794584,2.343099432231766,1.3385136118794585,20.5,22.3,40.7,9.9
01097000401,AL,Mobile,1,0.81889,3.0,0.0,2.0,1.0,20.7,30.9,56.4,17.3
01097000402,AL,Mobile,1,0.70606,3.0,0.0,2.0,1.0,28.9,25.2,58.0,23.6
01097000500,AL,Mobile,2,0.41653999999999997,2.688529312911125,0.0,2.1557353435444377,1.0,18.3,27.9,51.7,13.4
01097000600,AL,Mobile,1,0.00023,3.0000000000000004,0.0,2.0,1.0,17.5,27.2,48.0,11.4
01097000801,AL,Mobile,3,0.01094,0.3756855575868373,0.0,2.0,0.12979890310786105,17.1,21.0,43.1,9.7
01097000901,AL,Mobile,6,0.8341400000000001,0.9432469369650177,0.0,2.5940969141870664,0.5682259572733593,23.5,12.9,37.1,8.5
01097000902,AL,Mobile,5,0.83652,0.3159876631760149,0.0,2.4733180318462202,0.2888036149763305,22.8,12.3,33.8,6.7
01097000903,AL,Mobile,5,0.7953800000000001,0.05421308054011918,0.07299655510573562,1.7483215569916264,0.27360506927506345,20.5,17.2,40.2,9.7
01097001001,AL,Mobile,2,0.91406,1.2533750519659541,0.0,2.873312474017023,1.0,21.7,13.5,37.1,7.8
01097001002,AL,Mobile,4,0.70769,0.43157314643417316,0.3163390750187229,3.0490751600276953,1.0642512964716189,20.4,14.5,37.0,6.4
01097001100,AL,Mobile,3,0.99999,0.017740177401774016,0.957949579495795,3.024310243102431,1.933639336393364,18.3,29.6,49.3,14.0
01097001200,AL,Mobile,4,0.03794,0.4491302055877701,0.6420664206642066,3.264364786505008,1.2279915656299418,19.9,18.5,47.3,18.1
01097001302,AL,Mobile,4,0.56589,0.0,0.7324921804590998,3.9009701532099874,0.7324921804590998,20.7,30.9,53.7,19.0
01097001400,AL,Mobile,4,0.53329,0.0,0.7778882034165275,3.3865814097395406,0.830805002906486,18.9,25.6,50.2,12.8
01097001501,AL,Mobile,1,0.28036,0.0,1.0,4.0,1.0,21.7,35.3,57.8,19.1
01097001502,AL,Mobile,3,0.19670999999999997,0.0,0.9239997966549743,4.0,0.9239997966549743,22.7,27.0,55.0,18.2
01097002301,AL,Mobile,2,0.009940000000000001,0.0,0.8893360160965794,3.778672032193159,1.0,19.6,19.9,46.4,12.3
01097002302,AL,Mobile,1,0.00336,0.0,0.0,2.0,1.0,18.6,26.9,49.7,13.6
01097002400,AL,Mobile,4,0.49507999999999996,0.0,0.5374888906843339,3.085178153025774,0.989799628342894,20.0,22.6,47.4,12.8
01097002501,AL,Mobile,8,0.39375,0.0,0.07451428571428571,2.3777269841269844,0.6002539682539683,21.8,8.1,29.5,4.8
01097002502,AL,Mobile,8,0.62655,0.013502513765860666,0.0,2.421355039502035,0.40311228154177636,20.6,12.6,31.4,6.4
01097002600,AL,Mobile,1,0.00755,0.0,0.0,2.0,1.0,17.8,26.8,46.8,13.9
01097007400,AL,Mobile,2,0.00802,0.0,0.9975062344139652,4.0,0.9975062344139652,21.6,21.1,44.5,11.7
01101000100,AL,Montgomery,5,0.48208999999999996,1.1982617353606173,0.15380945466614118,3.5454790599265698,1.9471882843452468,22.2,10.5,42.4,8.6
01101000200,AL,Montgomery,4,0.92804,0.591580104305849,0.5586612646006638,4.7839209516831165,1.2769708202232664,19.5,22.1,52.1,19.0
01101000300,AL,Montgomery,2,0.14567,1.7492963547744902,0.0,2.3760554678382646,2.74929635477449,23.3,24.6,56.9,20.3
01101000400,AL,Montgomery,3,0.94475,0.9308917703096058,0.03451706800740937,3.580650965863985,1.9193860809738028,24.3,22.7,54.5,18.8
01101000500,AL,Montgomery,2,1.0,0.0,2.99802,3.00066,0.0,24.8,17.3,49.7,17.3
01101000600,AL,Montgomery,5,0.80413,0.5219180978200042,0.6072152512653427,2.99339659010359,0.47701242336438143,21.3,28.5,56.8,14.3
01101000700,AL,Montgomery,6,0.99858,0.33146067415730335,0.30651525165735344,4.012888301387971,0.6130305033147069,23.6,28.2,57.7,16.4
01101000900,AL,Montgomery,1,0.02314,1.0,1.0,4.0,4.0,20.8,8.7,41.1,11.5
01101001000,AL,Montgomery,2,0.33557,0.6804839526775338,0.6804839526775338,4.639032094644932,2.7219358107101352,24.4,25.3,58.6,21.1
01101001100,AL,Montgomery,1,0.73792,0.0,0.0,6.0,0.0,20.2,27.6,56.1,15.9
01101001200,AL,Montgomery,3,0.9866,0.01772754915872694,0.0,5.929089803365092,0.0,23.5,28.0,60.5,20.6
01101001300,AL,Montgomery,6,0.80257,0.7777140934747124,0.3296036482799008,2.699477927159002,0.3296036482799008,21.3,17.7,47.2,10.0
01101001400,AL,Montgomery,9,0.91215,0.8329222167406677,0.8313764183522447,2.8002850408375815,0.6900180891300772,23.4,9.1,35.2,5.5
01101001500,AL,Montgomery,4,0.94776,0.34402169325567655,1.4433295349033508,1.9562336456486875,0.5205220730986747,28.8,9.9,42.5,11.9
01101001600,AL,Montgomery,4,0.88774,1.1264559443080182e-05,1.6542794061324262,2.693896861693739,0.32342803072971815,25.1,21.5,55.0,17.8
01101001700,AL,Montgomery,1,0.11357,0.0,3.0,3.0,0.0,24.2,13.5,44.3,10.2
01101001800,AL,Montgomery,2,0.09728,0.0,2.9969161184210527,3.002055921052632,0.0010279605263157894,25.0,17.9,48.0,12.8
01101002000,AL,Montgomery,6,0.41787,0.6761672290425251,1.031564840739943,2.3771268576351496,0.10754540885921458,21.6,13.4,40.5,6.9
01101002100,AL,Montgomery,4,0.14384000000000002,0.6736651835372636,0.8105533926585095,2.157953281423804,0.15781423804226918,20.3,17.6,48.9,10.4
01101002201,AL,Montgomery,2,0.037239999999999995,0.8037056928034372,0.0,2.1962943071965633,0.0,19.8,26.3,55.1,16.0
01101002300,AL,Montgomery,3,0.22846,0.08132714698415477,0.0,2.927208264028714,0.0,19.2,27.2,54.9,14.2
01101002400,AL,Montgomery,2,0.01073,0.0,0.0,5.245107176141659,0.0,21.4,31.5,59.6,18.1
01101002500,AL,Montgomery,1,0.20119,0.0,0.0,5.0,1.0,23.2,22.5,53.5,18.4
01101002800,AL,Montgomery,1,0.00615,0.0,3.0,3.0,0.0,21.3,17.4,50.0,12.5
01101003301,AL,Montgomery,2,0.42996999999999996,0.0,2.847175384329139,2.6943507686582784,0.15282461567086078,20.8,13.5,40.5,6.6
06001400100,CA,Oakland,4,0.45227000000000006,0.017378999270347355,0.635814889336016,2.9942070002432177,0.0,18.9,9.8,20.5,2.6
06001400200,CA,Oakland,6,0.86138,0.13791822424481645,0.1849938470825884,2.728784044208131,0.0,21.3,7.9,21.7,3.6
06001400300,CA,Oakland,4,0.83394,0.18266302132047868,0.0,1.918962994939684,0.0,21.7,7.8,22.8,3.8
06001400400,CA,Oakland,6,0.94336,1.5705775101763908,0.4242812924016282,1.8529405529172318,0.0,23.3,6.9,23.0,3.8
06001400500,CA,Oakland,3,0.71313,1.9916004094625102,0.0,1.0,0.0,23.4,7.8,25.5,4.8
06001400600,CA,Oakland,2,0.86103,1.659105954496359,0.0,1.340894045503641,0.0,23.8,7.8,26.3,5.0
06001400700,CA,Oakland,5,0.7527,2.7585757938089546,0.0,1.0289491165138833,1.367437225986449,22.9,8.7,27.0,5.0
06001400800,CA,Oakland,4,0.85725,3.062408865558472,0.0,1.024251968503937,1.9444502770487022,21.9,8.9,26.0,5.5
06001400900,CA,Oakland,3,0.8355199999999999,2.843773937188817,0.0,0.9842014553810801,2.0005864611260056,24.4,8.5,28.0,6.3
06001401000,CA,Oakland,4,0.8428800000000001,2.7612115603644645,0.06579821564160972,1.0657982156416097,1.724966780561883,23.0,8.3,27.6,6.4
06001401100,CA,Oakland,3,0.74547,0.9223979502863966,0.5612566568741868,1.819429353293895,0.0,23.6,6.4,24.7,5.7
06001401200,CA,Oakland,2,0.7272,0.5258800880088009,0.5258800880088009,2.0,0.0,23.2,6.6,23.8,4.3
06001401300,CA,Oakland,2,0.67397,0.40170927489354125,0.40170927489354125,1.4017092748935414,0.0,20.7,8.9,25.9,6.4
06001401400,CA,Oakland,3,0.61856,2.5400284531815833,0.07163411795137092,1.071634117951371,1.645596223486808,23.9,12.3,33.2,11.4
06001401500,CA,Oakland,1,0.85251,2.0,0.0,2.0,5.0,23.5,10.9,31.7,9.1
06001401600,CA,Oakland,1,0.94019,2.0,0.0,2.0,5.0,22.6,8.9,28.9,8.5
06001401700,CA,Oakland,2,0.24979,2.0,0.0,1.9977581168181273,5.0,20.9,9.6,28.7,7.2
06001401800,CA,Oakland,1,1.0,2.0,0.0,2.0,5.0,23.3,8.8,30.2,7.2
06001402200,CA,Oakland,1,0.89474,2.0,0.0,2.0,5.0,21.2,9.9,28.2,8.6
06001402400,CA,Oakland,2,0.9995700000000001,3.733065218043759,0.0,1.1334673909781205,1.5338695639124822,22.8,14.6,31.5,10.7
06001402500,CA,Oakland,2,0.88271,3.799322540811818,0.0,1.1003387295940907,1.4013549183763638,23.9,13.4,34.6,9.8
06001402600,CA,Oakland,2,0.70465,3.9833960122046403,0.0,1.0083019938976798,1.0332079755907189,18.3,18.3,25.6,8.1
06001402700,CA,Oakland,2,0.88771,3.631749107253495,0.0,1.1841254463732527,1.7365017854930103,22.8,9.8,29.7,8.3
06001403000,CA,Oakland,1,0.11963,2.0,1.0,1.0,1.0,14.0,23.4,18.4,9.1
06001403301,CA,Oakland,1,0.67288,2.0,1.0,1.0,1.0,16.0,19.7,21.3,10.2
06001403302,CA,Oakland,1,0.63002,2.0,1.0,1.0,1.0,20.6,6.1,21.8,4.3
06001403401,CA,Oakland,1,0.03295,0.0,1.0,3.0,0.0,20.3,11.8,23.9,6.7
06001403501,CA,Oakland,5,0.63707,0.7439684807007079,0.2277300767576561,0.9624060150375938,0.0,21.5,8.8,24.5,5.5
06001403502,CA,Oakland,3,0.99902,0.7800444435546835,0.08292126283758082,0.5228323757282136,0.0,23.6,7.0,25.0,5.5
06001403600,CA,Oakland,3,0.95799,0.05234918944874164,0.10645205064771031,2.0017536717502273,0.0,21.7,7.6,25.2,4.9
06001403701,CA,Oakland,2,0.86711,0.001464635398046384,0.9985353646019536,2.995606093805861,0.0,22.5,8.2,24.3,5.4
06001403702,CA,Oakland,2,0.83985,0.0,0.9944990176817289,2.994499017681729,0.0,22.1,7.7,23.7,4.1
06001403800,CA,Oakland,5,0.8376899999999999,0.00031037734722868843,0.005467416347336128,2.747937781279471,0.0,22.4,7.8,23.7,3.8
06001403900,CA,Oakland,5,0.91177,0.06308608530660145,0.1409236978623995,2.0178444125163146,0.0,22.2,7.4,23.0,4.6
06001404000,CA,Oakland,5,0.83659,0.531216007841356,0.8133135705662272,2.2680524510214086,0.0,22.9,7.1,23.8,4.1
06001404101,CA,Oakland,2,0.79209,1.0,0.9897486396747844,2.0,0.0,21.9,7.4,22.0,3.7
06001404102,CA,Oakland,3,0.85762,0.8339590961031691,0.999020545229822,2.1660409038968305,0.0,20.7,8.8,21.1,4.2
06001404200,CA,Oakland,7,0.50766,0.13491313083559864,0.9318835441043218,2.8650868691644016,0.0,20.4,8.3,21.4,2.9
06001404300,CA,Oakland,6,0.9328,0.5154373927958834,1.1221162092624357,2.765898370497427,0.0,19.9,8.2,20.5,2.6
06001404400,CA,Oakland,5,0.60283,0.5293532173249507,2.0628535407992303,2.470646782675049,0.0,19.9,8.5,21.1,2.9
06001404501,CA,Oakland,4,0.9813,0.0,1.9999694283093856,3.0000000000000004,0.0,20.0,9.3,21.1,3.3
06001404502,CA,Oakland,3,0.37761,0.0006355763883371733,1.0260586319218241,2.9993644236116634,0.0,20.2,8.3,21.6,3.0
06001404600,CA,Oakland,1,0.00026,0.0,2.0,3.0,0.0,20.1,9.4,21.8,3.2
06001404700,CA,Oakland,4,0.41958,0.38590971924305256,2.594785261451928,2.7504885838219173,0.0,20.2,8.9,22.5,2.6
06001404800,CA,Oakland,5,0.77709,1.0,1.2857455378398899,2.394085627147435,0.0,21.4,10.4,25.2,5.3
06001404900,CA,Oakland,4,0.99065,0.9778428304648463,3.89656286276687,1.9881088174430928,0.0,20.7,9.9,23.5,4.0
06001405000,CA,Oakland,5,0.96553,0.49451596532474396,3.5864861785754973,2.281679492092426,0.0,21.9,8.8,22.9,3.8
06001405100,CA,Oakland,3,0.99993,0.43650055503885277,2.0447631334193397,3.0,0.0,20.2,9.5,22.7,3.1
06001405200,CA,Oakland,5,0.91183,0.0,1.1967801015540178,3.134345217858592,0.0,21.4,8.9,23.2,5.4
06001405301,CA,Oakland,2,0.99825,0.0,0.39891810668670175,1.1967543200601052,0.0,22.6,7.5,24.8,5.3
06001405302,CA,Oakland,4,0.6127300000000001,0.6929316338354576,0.19032852969497166,1.261044832144664,0.0007180976939271783,19.5,13.1,24.2,6.8
06001405401,CA,Oakland,2,0.8478600000000001,0.9137239638619583,0.0,0.9137239638619583,0.0,19.5,11.2,23.9,8.5
06001405402,CA,Oakland,3,0.80306,1.0020919981072398,0.004071924887306054,1.0,0.002091998107239808,20.4,13.7,27.1,11.5
06001405500,CA,Oakland,4,0.9999899999999999,0.8933989339893399,0.44885448854488547,0.89979899798998,0.0,20.9,11.7,25.3,8.4
06001405600,CA,Oakland,4,0.97603,0.7290042314273127,1.3419669477372622,0.9617634703851315,0.0,20.8,10.6,24.7,7.0
06001405700,CA,Oakland,4,0.88059,0.9784689810240862,1.3387501561453117,1.133001737471468,0.0,21.0,14.1,28.5,9.9
06001405800,CA,Oakland,2,0.99996,1.0,1.6039041561662466,1.0,0.0,19.3,14.7,25.5,11.6
06001405901,CA,Oakland,1,0.93096,1.0,3.0000000000000004,1.0,0.0,19.3,14.1,27.0,14.4
06001405902,CA,Oakland,4,0.81028,1.0008021918349213,2.044910401342746,1.0,0.0008021918349212617,18.8,14.9,25.0,12.7
06001406000,CA,Oakland,2,0.6460300000000001,2.0,1.0,1.1963376313793477,1.0,20.6,13.7,26.9,11.8
06001406100,CA,Oakland,2,0.75848,2.0,1.0,1.9899667756565762,1.0,22.1,14.0,32.3,15.5
06001406201,CA,Oakland,3,0.8255699999999999,1.0,1.6327507055731194,0.7028113909177901,0.0,20.3,13.6,29.0,18.1
06001406202,CA,Oakland,2,0.75165,1.0,1.0,0.1120867424998337,0.0,21.0,13.8,30.9,22.3
06001406300,CA,Oakland,3,0.9304,1.0,1.4132523645743764,1.0,0.0,19.9,15.0,28.3,15.1
06001406400,CA,Oakland,6,0.93538,0.5958968547542176,1.8157860976287712,1.336291133015459,0.0,20.1,17.9,28.8,11.3
06001406500,CA,Oakland,4,0.91954,0.9470604867651217,0.988004872001218,0.011995127998782,0.0,19.9,12.9,28.3,13.9
06001406601,CA,Oakland,3,0.93724,1.2574153898681233,0.8712923050659382,0.5781763475737272,0.0,20.1,12.7,27.3,10.0
06001406602,CA,Oakland,2,0.92651,1.0,1.0,0.3631477264141779,0.0,20.1,12.2,27.9,10.5
06001406700,CA,Oakland,9,0.85661,0.7055836378281832,0.5031227746582458,1.799336921119296,0.0,20.6,9.9,23.4,5.2
06001406800,CA,Oakland,5,0.9338,1.5648532876418935,0.8412508031698437,1.55136003426858,0.0,20.0,10.4,23.4,5.5
06001406900,CA,Oakland,3,0.94628,1.4912922179481758,1.0916324977807839,1.1686393033774358,0.0,20.6,10.8,25.5,5.3
06001407000,CA,Oakland,2,0.86389,2.34748636979245,0.21750454340251651,0.7824954565974834,0.0,20.2,12.8,27.4,11.7
06001407101,CA,Oakland,3,0.94286,0.2916127526886282,1.0,0.0,0.0,20.4,14.3,30.2,17.9
06001407102,CA,Oakland,1,0.94721,0.0,1.0,0.0,0.0,20.3,13.5,28.7,14.4
06001407200,CA,Oakland,4,0.75925,1.6269608165953244,1.0,0.0,0.0,20.7,13.1,30.5,21.2
06001407300,CA,Oakland,2,0.37287,2.394507469091104,1.3945074690911043,1.802746265454448,1.0,23.0,13.0,33.6,19.2
06001407400,CA,Oakland,2,0.76231,2.0,1.0,0.0,0.0,21.4,14.1,33.9,19.5
